CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada;NOME_PULITO;GENERE;PERSONA_ID
11645;60700;PIAZZA XX SETTEMBRE;15;Santo Stefano;PIAZZA XX SETTEMBRE;VIALE ANGELO MASINI;14167;14166;1997-06-05;108.0;6;;6;;;;;;44.5042016119818, 11.345761295053224;"{""coordinates"": [[11.345240337607443, 44.50411461989398], [11.345424125430066, 44.50414908680369], [11.345919144968397, 44.50408443134042], [11.346108017351007, 44.50454245365441]], ""type"": ""LineString""}";760458;XX SETTEMBRE;Toponimo;97ce9fe22eb4ba56611c34423df6d5d6
11954;61600;VIA GIAMBATTISTA VICO;14;San Donato - San Vitale;VIA GIAMBATTISTA VICO;VIA GIAMBATTISTA VICO;18070;18069;2023-05-09;76.0;;;;;;;;;44.51042423847308, 11.378257876978793;"{""coordinates"": [[11.378467639334538, 44.51011806439835], [11.378450378207237, 44.51016505731216], [11.37803642561074, 44.51072410716736]], ""type"": ""LineString""}";759667;GIAMBATTISTA VICO;Male;bab9fd795ff7cc74b1ff6f7d8ffa5d76
8746;44950;VIALE CARLO PEPOLI;13;Porto - Saragozza;VIALE CARLO PEPOLI;VIALE GIOVANNI VICINI;16677;16678;1999-11-25;102.0;;;;;;;;;44.49425514691952, 11.328583867845062;"{""coordinates"": [[11.32872934270814, 44.49380665494432], [11.328438392981981, 44.49470363889472]], ""type"": ""LineString""}";759019;CARLO PEPOLI;Male;09b569ec61c134c0d90af12d53af2d30
8748;22200;PIAZZA DI PORTA SAN FELICE;13;Porto - Saragozza;VIALE GIOVANNI VICINI;VIA AURELIO SAFFI;15233;16684;1999-11-25;25.0;4;;4;;3;;3;;44.49930375880001, 11.326829986561346;"{""coordinates"": [[11.326890542553882, 44.499402040281446], [11.32680657964275, 44.499293605161604], [11.326802592156216, 44.499193397695876]], ""type"": ""LineString""}";759415;DI PORTA SAN FELICE;Toponimo;6a213cf7e75c2f23de90fd82f346e30d
2544;22050;VIA GIOVANNI FATTORI;11;Borgo Panigale - Reno;VIA SPERANZA;VIA GIOVANNI FATTORI;8656;8657;1992-01-10;240.0;2;;44;;1;;29;2;44.50645839496474, 11.29468799805203;"{""coordinates"": [[11.296050307526922, 44.50599277883207], [11.293325688577136, 44.5069240110974]], ""type"": ""LineString""}";759715;GIOVANNI FATTORI;Male;baeba4d2d9cf136e96b00bd6d752be7b
6356;33000;VIA DEI MACERI;16;Savena;VIA DEI MACERI;VIA DEI MACERI;14057;14053;1997-05-30;47.0;;;;;13;;15;;44.48395194305734, 11.37735007741955;"{""coordinates"": [[11.37709021674199, 44.48405473150189], [11.377609938097109, 44.48384915461279]], ""type"": ""LineString""}";759160;DEI MACERI;Toponimo;d73165e6df69b8b6a3cda714c5799b83
6357;23200;VIA FIORITA;16;Savena;VIA FIORITA;VIA PONTEVECCHIO;6409;14058;1997-06-02;90.0;16;2;22;;11;6;15;;44.48099546712316, 11.377762641731028;"{""coordinates"": [[11.378306998152764, 44.48088589650098], [11.377218285309292, 44.48110503774534]], ""type"": ""LineString""}";759556;FIORITA;Toponimo;d3785afdccc2e396b4f799c1c70fbecd
2334;56370;VIA DEGLI STRADELLI GUELFI;14;San Donato - San Vitale;VIA TOMMASO MARTELLI;VIA MARTIRI CROCE DEL BIACCO;16544;7006;1991-10-21;85.0;2;;6;B;1;;9;C;44.489461351041825, 11.39883997305916;"{""coordinates"": [[11.398388528888805, 44.48966655843248], [11.398416336223878, 44.48963314175378], [11.398462560291271, 44.48960076051797], [11.398537797438802, 44.48956253014052], [11.398667784058368, 44.48951182401784], [11.399315597611075, 44.489300215752046]], ""type"": ""LineString""}";759145;DEGLI STRADELLI GUELFI;Toponimo;c4fd27bcd196bb3ad27e1648b48dbf20
2832;27430;PIAZZA GIOVANNI DA VERRAZZANO;12;Navile;PIAZZA GIOVANNI DA VERRAZZANO;VIA ANTONIOTTO USODIMARE;8954;8953;1993-04-23;39.0;;;;;13;;13;;44.51898777042962, 11.326516762939761;"{""coordinates"": [[11.326276823152853, 44.51902545235957], [11.326756702726668, 44.51895008849966]], ""type"": ""LineString""}";759711;GIOVANNI DA VERRAZZANO;Male;96f3976cd81f64e1b720f39a1839db8f
2345;48300;VIA BARTOLOMEO PROVAGLIA;14;San Donato - San Vitale;VIA EDOARDO COLLAMARINI;VIA AGOSTINO BARELLI;7017;7002;1992-01-10;142.0;2;;2;;1;;1;A;44.49584981194309, 11.401220083955373;"{""coordinates"": [[11.400345119022926, 44.49572702994186], [11.402095048887817, 44.495972593944316]], ""type"": ""LineString""}";758912;BARTOLOMEO PROVAGLIA;Male;067fc542afa7cdbda13f25cc3de897b4
