nome,genere,tipo,professione_originale,macro_categoria
Nicola Zanichelli,M,storica,Editore,Letteratura e giornalismo
Nicola Gogol,M,storica,Scrittore,Letteratura e giornalismo
Niccolò Tommaseo,M,storica,Scrittore,Letteratura e giornalismo
Niccolò Paganini,M,storica,"Violinista, compositore","Musica, teatro e cinema"
Niccolò Machiavelli,M,storica,"Filosofo, politico",Politica e diritto
Niccolò Copernico,M,storica,Astronomo,Scienze e medicina
Nazario Sauro,M,storica,Patriota,"Patrioti, militari ed esploratori"
Mondino de' Liuzzi,M,storica,"Medico, anatomista",Scienze e medicina
Miguel de Cervantes,M,storica,Scrittore,Letteratura e giornalismo
Michele Medici,M,storica,Medico,Scienze e medicina
Michele Gortani,M,storica,"Geologo, politico",Politica e diritto
Michelangelo Buonarroti,M,storica,"Scultore, pittore",Arte visiva e architettura
Melozzo da Forlì,M,storica,Pittore,Arte visiva e architettura
Melchiorre Bega,M,storica,Architetto,Arte visiva e architettura
Mauro Tesi,M,storica,"Pittore, architetto",Arte visiva e architettura
Mauro Sarti,M,storica,Storico,"Filosofia, storia e accademia"
Maurizio Cevenini,M,storica,Politico,Politica e diritto
Maurizio Bufalini,M,storica,Medico,Scienze e medicina
Matteo Maria Boiardo,M,storica,Poeta,Letteratura e giornalismo
Massimiliano Angelelli,M,storica,Letterato,"Filosofia, storia e accademia"
Masaccio,M,storica,Pittore,Arte visiva e architettura
Marziale,M,storica,Poeta,Letteratura e giornalismo
Martin Luther King,M,storica,Attivista (diritti civili),Sindacalismo e attivismo civile
Mario Musolesi (Il Lupo),M,storica,Partigiano,Resistenza e antifascismo
Mario Jacchia,M,storica,"Partigiano, avvocato",Resistenza e antifascismo
Mario Finzi,M,storica,Partigiano,Resistenza e antifascismo
Mario Fantin,M,storica,"Alpinista, documentarista",Sport
Mario De Maria,M,storica,Pittore,Arte visiva e architettura
Mario Bastia,M,storica,Partigiano,Resistenza e antifascismo
Marco Polo,M,storica,"Esploratore, mercante","Patrioti, militari ed esploratori"
