QUARTIERE;TIPOLOGIA;NOME;DATA ISTITUZIONE;TIPO;INDIRIZZO;ID;DELIBERA;LABEL1;LABEL2;CLASSIFICAZIONE;NOME COMPLETO;FALDONE;SED_COMM;NOME;DATI ANAGRAFICI;Geo Point;Geo Shape;ISTITUZIONE;ISTITUZIONE ANNO
San Donato - San Vitale;Rotonda;Lea Colliva;2023-07-11;Strade (79);via Venturoli, via Azzurra, Largo Molina;0;Delibera di Giunta 11 luglio 2023;Rotonda Lea Colliva;Colliva;Pittrice;Lea Colliva;34 - Delibere dal 2022 al 2025;31 marzo 2023;Lea Colliva;Bologna, 1901-1975;44.490239934705826, 11.373737948117848;"{""coordinates"": [[[11.373741187535746, 44.49031949865313], [11.373760450159182, 44.49031788558717], [11.373779029031148, 44.49031390404079], [11.373796359597446, 44.49030767502007], [11.373811915245742, 44.4902993878115], [11.373825223310284, 44.49028929422825], [11.37383587943544, 44.49027770095763], [11.373843559861452, 44.4902649602427], [11.373848031259161, 44.49025145918088], [11.37384915781516, 44.49023760796533], [11.37384690535267, 44.49022382742461], [11.373841342363567, 44.490210536240326], [11.373832637921048, 44.490198138229616], [11.373821056537022, 44.49018701007885], [11.373806950121248, 44.490177489900766], [11.373790747286842, 44.49016986696223], [11.373772940327525, 44.49016437289507], [11.373754070262047, 44.49016117465632], [11.373734710400049, 44.49016036945278], [11.373715448928087, 44.4901619817837], [11.37369687104429, 44.490165962692366], [11.373679541183677, 44.490172191249655], [11.373663985873456, 44.49018047822494], [11.373650677738606, 44.49019057183318], [11.373640021143236, 44.49020216538404], [11.373632339903827, 44.49021490660075], [11.373627867447638, 44.4902284083252], [11.37362673971575, 44.490242260284475], [11.373628991026768, 44.490256041560215], [11.373634553027697, 44.4902693333822], [11.373643256764536, 44.49028173185635], [11.373654837810491, 44.49029286024042], [11.373668944296572, 44.49030238039352], [11.373685147601186, 44.490310003051775], [11.373702955373902, 44.49031549661724], [11.373721826497857, 44.49031869419326], [11.373741187535746, 44.49031949865313]]], ""type"": ""Polygon""}";2021-2025;2023
San Donato - San Vitale;Passaggio;Isabella Marincola;2021-08-03;Percorsi pedonali e ciclabili (10);Giardino Charlie Parker;0;Delibera di Giunta 3 agosto 2021;Passaggio Fratelli Marincola;Marincola;Cittadina resistente afrodiscendente;Isabella Marincola/Timira Hassan;33 - Delibere 2019-2020-2021;12 maggio 2021;Fratelli Marincola;Mogadiscio (Somalia), 1925 - Bologna, 2010;44.504534715241874, 11.359177605717164;"{""coordinates"": [[[11.358963980581146, 44.50448400642945], [11.35896179643727, 44.50448455207938], [11.358270311711395, 44.504657297918186], [11.358258451535164, 44.50466026075796], [11.358266735132402, 44.50467725021287], [11.358278595331576, 44.504674287368], [11.358967897246824, 44.504502086881615], [11.360104847979077, 44.50452541800209], [11.360117405369026, 44.50452567561827], [11.360118111273717, 44.504507690598594], [11.3601055539131, 44.50450743297705], [11.35896629320901, 44.50448405390053], [11.358963980581146, 44.50448400642945]]], ""type"": ""Polygon""}";2021-2025;2022
Borgo Panigale - Reno;Passaggio;Lea Garofalo;2023-01-31;Percorsi pedonali e ciclabili (10);Giardino dei Tigli;0;Delibera di Giunta 31 gennaio 2023;Passaggio Lea Garofalo;Garofalo;Vittima di mafia;Lea Garofalo;34 - Delibere dal 2022 al 2025;21 settembre 2022;Lea Garofalo;Petilia Policastro (KR), 1974 - Milano, 2009;44.51836108175037, 11.277000032666313;"{""coordinates"": [[[11.276660877151482, 44.51786364337433], [11.27663842843234, 44.5178718044377], [11.27664413362508, 44.517879837300924], [11.277333486470642, 44.51885049156827], [11.277339191396234, 44.518858524904154], [11.277361639705928, 44.5188503644516], [11.277355934783673, 44.51884233111077], [11.276666582340887, 44.51787167624253], [11.276660877151482, 44.51786364337433]]], ""type"": ""Polygon""}";2021-2025;2023
San Donato - San Vitale;Via;Fernanda Pivano;2023-05-16;Strade (79);da via Scandellara a via Scandellara;0;Delibera di Giunta 16 maggio 2023;Via Fernanda Pivano;Pivano;Scrittrice;Fernanda Pivano;34 - Delibere dal 2022 al 2025;16 dicembre 2022;Fernanda Pivano;Genova, 1917 - Milano, 2009;44.49550877454521, 11.380044853382174;"{""coordinates"": [[[11.378322307837479, 44.495015811474055], [11.378321534712446, 44.49501589679161], [11.378148926469665, 44.495034944697245], [11.378148492003437, 44.49503499264172], [11.378148063275278, 44.495035062215585], [11.378002033212994, 44.49505879669425], [11.378000625043448, 44.49505902569213], [11.377999325782424, 44.49505947709108], [11.377809161354184, 44.49512554574643], [11.37780781789532, 44.495126012505345], [11.377806664195704, 44.49512669131887], [11.377378032630347, 44.495378883097466], [11.37737763909869, 44.49537911462114], [11.37737727294863, 44.49537936813218], [11.37659372440189, 44.495921857579376], [11.376278282056896, 44.496116343733775], [11.376278057252085, 44.496116482336255], [11.376277841802052, 44.49611662835702], [11.376273937677711, 44.496119274368056], [11.376264795686552, 44.49612547032817], [11.376282079043294, 44.49613854210107], [11.376291221036459, 44.49613234613849], [11.376294909711564, 44.49612984614725], [11.376610402995329, 44.49593532855561], [11.376610678550957, 44.49593515866032], [11.376610939968389, 44.4959349776732], [11.377394383883237, 44.49539256057375], [11.377821476233493, 44.495141275501], [11.378008998400775, 44.49507612473896], [11.378153187303253, 44.49505269128963], [11.3783245881439, 44.495033776619366], [11.378491707768761, 44.49503036134258], [11.378697839138516, 44.49503814671599], [11.379261173420261, 44.49510814495021], [11.380421715014084, 44.49531655463477], [11.380422160093937, 44.495316634558115], [11.380422612123585, 44.495316691018964], [11.381009470706037, 44.49539000417822], [11.381519019418645, 44.495463162236106], [11.382152863246603, 44.49557350901019], [11.382678254215959, 44.49568226555162], [11.382841094364924, 44.49575925506208], [11.382842371307843, 44.49575985879153], [11.382843813061456, 44.495760225504604], [11.383260115707522, 44.495866113512896], [11.383287399487894, 44.49590256914059], [11.383355922617485, 44.496179227184356], [11.383355943592528, 44.49617931186907], [11.383355966821865, 44.49617939625174], [11.383458726566136, 44.496552675810584], [11.383461158522561, 44.49656150989591], [11.383485821701269, 44.496558031052416], [11.383483389736138, 44.49654919695922], [11.383380652853434, 44.49617600144945], [11.383311799911839, 44.4958980126615], [11.383311449400642, 44.49589659748449], [11.383310501315044, 44.495895330687055], [11.383279973748722, 44.495854540840874], [11.383277678072428, 44.49585147343807], [11.383273099696488, 44.49585030890856], [11.382853660688687, 44.49574362336218], [11.38269050057658, 44.49566648262546], [11.382688903611538, 44.4956657275951], [11.382687065471888, 44.495665347096995], [11.382159579062389, 44.495556157090924], [11.382159321410535, 44.495556103757124], [11.382159060819786, 44.495556058343894], [11.381524709434705, 44.495445621445675], [11.381524461521863, 44.495445578287146], [11.381524211367028, 44.49544554237271], [11.381014258729014, 44.49537232585699], [11.381014103724063, 44.49537230360116], [11.381013947986053, 44.495372284145965], [11.380427380353085, 44.4952990109528], [11.379266834469666, 44.49509060019913], [11.379266383884715, 44.495090519279096], [11.379265926190229, 44.49509046240885], [11.378701396718856, 44.49502031553836], [11.378700658604208, 44.49502022381969], [11.378699910505945, 44.49502019556542], [11.378492521486375, 44.495012362659246], [11.378492011699144, 44.49501234340451], [11.378491501411208, 44.49501235383313], [11.378323089763622, 44.49501579549517], [11.378322307837479, 44.495015811474055]]], ""type"": ""Polygon""}";2021-2025;2023
Santo Stefano;Passaggio;Maestre pioniere delle scuole all'aperto;2023-01-31;Percorsi pedonali e ciclabili (10);Giardini Margherita;0;Delibera di Giunta 31 gennaio 2023;Passaggio Maestre pioniere delle scuole all'aperto;Maestre pioniere delle scuole all'aperto;Insegnante ed educatrice;Maria Chiara Serra;34 - Delibere dal 2022 al 2025;21 settembre 2022;Maestre pioniere delle scuole all'aperto;San Giovanni in Persiceto (BO), 1890 - Casalecchio di Reno (BO), 1977;44.4820663794722, 11.350465103426767;"{""coordinates"": [[[11.351183292227315, 44.48197268586863], [11.351171030349018, 44.481974430292944], [11.350962266592886, 44.48200413129322], [11.350961814301902, 44.482004195643974], [11.350961369913053, 44.482004283904274], [11.35063472971126, 44.482069163833415], [11.350411035883775, 44.482086043341724], [11.350165647436231, 44.48208998484677], [11.349748430865729, 44.48207406851196], [11.349735928568862, 44.48207359160294], [11.3497347004438, 44.482091631717225], [11.349747202772653, 44.48209210866017], [11.350164889510609, 44.4821080437355], [11.350165358159437, 44.48210806162019], [11.350165827215042, 44.48210805408504], [11.350412192796727, 44.482104096218144], [11.350412704389, 44.482104087999126], [11.350413213190988, 44.482104049602945], [11.350638434828461, 44.48208705401694], [11.350639456992258, 44.48208697688518], [11.350640447412646, 44.48208678013748], [11.350967629469586, 44.48202179098128], [11.351175938115214, 44.48199215383632], [11.351188199827556, 44.48199040938288], [11.351183292227315, 44.48197268586863]]], ""type"": ""Polygon""}";2021-2025;2024
Navile;Giardino;Maestre di Monte Sole;2023-01-31;Aree verdi (57);via Martiri di Monte Sole, via dell'Arcoveggio, via Zaniboni;0;Delibera di Giunta 31 gennaio 2023;Giardino Maestre di Monte Sole;Maestre di Monte Sole;Insegnante ed educatrice;Antonietta Benni;34 - Delibere dal 2022 al 2025;21 settembre 2022;Maestre di Monte Sole;Bologna, 1899 - Gardelletta (BO), 1974;44.5253061462779, 11.345662548305157;"{""coordinates"": [[[11.345431321602804, 44.52517703965166], [11.345423052673864, 44.525185202893], [11.345413495962774, 44.525201511330856], [11.345415030018684, 44.52521321117055], [11.34542088817007, 44.52522995986376], [11.345441696085826, 44.52523688849594], [11.345463817801072, 44.52530474128421], [11.345446173734858, 44.525315980747], [11.345491119200622, 44.52545294244123], [11.345501588792521, 44.52548133323889], [11.345514340452441, 44.52549135456258], [11.345525971432313, 44.52549919785263], [11.345540456446363, 44.52550185561238], [11.345566171885709, 44.52550185414508], [11.345920016367835, 44.525402366351514], [11.345824156425438, 44.5251207165514], [11.345433138594247, 44.52517474987434], [11.345431321602804, 44.52517703965166]]], ""type"": ""Polygon""}";2021-2025;2024
Porto - Saragozza;Giardino;Ena Frazzoni;2023-01-31;Aree verdi (57);viale Aldini, Piazza di Porta Saragozza;0;Delibera di Giunta 31 gennaio 2023;Giardino Ena Frazzoni;Frazzoni;Insegnante e partigiana;Ena Frazzoni, detta Nicoletta;34 - Delibere dal 2022 al 2025;21 settembre 2022;Ena Frazzoni;Bologna, 1917-1975;44.49022821360002, 11.330368913912839;"{""coordinates"": [[[11.329783196475647, 44.49035848427978], [11.329792788995121, 44.49036456257498], [11.329798770902235, 44.49036461745774], [11.32981058740118, 44.49036763030854], [11.329820367197012, 44.4903732049781], [11.329827205569025, 44.49038072854577], [11.329830316340825, 44.49038940559988], [11.329978555741771, 44.490388141671765], [11.329997787577724, 44.490365608195624], [11.330007387201398, 44.49037298788202], [11.330135344439963, 44.49038326984092], [11.330173156806014, 44.49038179622461], [11.330202533199461, 44.49037697745791], [11.330223529064824, 44.49037340679438], [11.330376108720088, 44.490343885849214], [11.330493137944721, 44.49031894622398], [11.330555432895896, 44.49030662660683], [11.330607164414817, 44.49029442717248], [11.33077823327347, 44.49025635110604], [11.330740880739201, 44.49015386067736], [11.330733649744115, 44.490133287517125], [11.330716578067316, 44.4900847754081], [11.33069182907129, 44.490033506684576], [11.33066721418959, 44.48998697751825], [11.330614944229287, 44.490007833983654], [11.33048425094897, 44.49006267819957], [11.330455231681148, 44.49007334413718], [11.330248968192134, 44.49016112968681], [11.330009334579758, 44.490260172638195], [11.32997345761914, 44.49027528326244], [11.329840278929767, 44.490332912617966], [11.329793258905623, 44.49035247406929], [11.329783196475647, 44.49035848427978]]], ""type"": ""Polygon""}";2021-2025;2023
Savena;Giardino;Maria Anna Mozart;2023-01-31;Aree verdi (57);via Corelli;0;Delibera di Giunta 31 gennaio 2023;Giardino Maria Anna Mozart;Mozart;Musicista;Maria Anna Walburga Ignatia Mozart detta Nannerl;34 - Delibere dal 2022 al 2025;21 settembre 2022;Maria Anna Mozart;Salisburgo (Austria), 1751-1829;44.45511391884921, 11.371262116878118;"{""coordinates"": [[[11.371716890932982, 44.45606859238905], [11.371803731443409, 44.45601088248246], [11.371829842319343, 44.455993713136294], [11.371836711003807, 44.45599816448713], [11.37185328222665, 44.45598842113587], [11.371879422506655, 44.45597817705336], [11.371906000444156, 44.455967653046], [11.371919572488045, 44.455954212632264], [11.371928393788965, 44.45593819465456], [11.371932657322244, 44.455927052519286], [11.371931993265793, 44.455915410340296], [11.37192701844093, 44.455905750452295], [11.371877242192006, 44.45587749997601], [11.37179870072278, 44.45582722262675], [11.371702716895488, 44.45576789197806], [11.371605141843052, 44.45570790174525], [11.371580913983331, 44.45568129676296], [11.371564737012392, 44.45565740451782], [11.371556813467421, 44.45563385079167], [11.371553384892595, 44.45561584190245], [11.371551137069323, 44.45559371217012], [11.371555961153339, 44.45557604164936], [11.371566815576946, 44.45555564026977], [11.371586784684041, 44.455525487060186], [11.371621352777868, 44.45549891015696], [11.371647275468819, 44.45548627349454], [11.371690932210813, 44.45546959861711], [11.37171459500232, 44.45546401658408], [11.37176878922474, 44.455459685778685], [11.371822071510207, 44.4554660388443], [11.371883368469065, 44.45548522874567], [11.371915582390422, 44.45550560939887], [11.371934796077795, 44.45552307477056], [11.37196005573768, 44.45554734008596], [11.372000779768298, 44.45553590534897], [11.372003676189319, 44.455540789214496], [11.372001261153343, 44.45539416227862], [11.372000286560866, 44.45530774624395], [11.371998636805511, 44.455287416783726], [11.37199441376631, 44.455278304646306], [11.37199043346026, 44.45526622277398], [11.371979074347498, 44.4552431116037], [11.37192290382235, 44.45516035781335], [11.371872260044553, 44.45508081013395], [11.371801744597658, 44.454970650907065], [11.371789796767295, 44.454954666764316], [11.37175613517913, 44.454900248431194], [11.371718243116108, 44.454836717558635], [11.371669368414508, 44.45476558513697], [11.37161198175993, 44.4546768214483], [11.371582870254949, 44.45462735693163], [11.37156425713265, 44.45460156441076], [11.37155774380444, 44.454589974539296], [11.371550839692445, 44.454573005192685], [11.371537510307245, 44.4545229957642], [11.371520477085545, 44.45444720907764], [11.371499456677695, 44.45436947107033], [11.371251850266669, 44.454418317049], [11.37067428401636, 44.45453110534768], [11.370513118488558, 44.45497920241112], [11.3704614636807, 44.45512726255518], [11.370753851644098, 44.45535079393979], [11.370759159988589, 44.45534684256949], [11.371042308677648, 44.45555915230944], [11.371337059129376, 44.455777312122976], [11.371633134227626, 44.45600536871068], [11.371710970055107, 44.45606395659155], [11.371716890932982, 44.45606859238905]]], ""type"": ""Polygon""}";2021-2025;2025
Navile;Giardino;Maestre di Monte Sole;2023-01-31;Aree verdi (57);via Martiri di Monte Sole, via dell'Arcoveggio, via Zaniboni;0;Delibera di Giunta 31 gennaio 2023;Giardino Maestre di Monte Sole;Maestre di Monte Sole;Insegnante ed educatrice;Giulia Casagrande;34 - Delibere dal 2022 al 2025;21 settembre 2022;Maestre di Monte Sole;Castelfranco Emilia (MO), 1917 - Marzabotto (BO), 1944;44.5253061462779, 11.345662548305157;"{""coordinates"": [[[11.345431321602804, 44.52517703965166], [11.345423052673864, 44.525185202893], [11.345413495962774, 44.525201511330856], [11.345415030018684, 44.52521321117055], [11.34542088817007, 44.52522995986376], [11.345441696085826, 44.52523688849594], [11.345463817801072, 44.52530474128421], [11.345446173734858, 44.525315980747], [11.345491119200622, 44.52545294244123], [11.345501588792521, 44.52548133323889], [11.345514340452441, 44.52549135456258], [11.345525971432313, 44.52549919785263], [11.345540456446363, 44.52550185561238], [11.345566171885709, 44.52550185414508], [11.345920016367835, 44.525402366351514], [11.345824156425438, 44.5251207165514], [11.345433138594247, 44.52517474987434], [11.345431321602804, 44.52517703965166]]], ""type"": ""Polygon""}";2021-2025;2024
Navile;Giardino;Maestre di Monte Sole;2023-01-31;Aree verdi (57);via Martiri di Monte Sole, via dell'Arcoveggio, via Zaniboni;0;Delibera di Giunta 31 gennaio 2023;Giardino Maestre di Monte Sole;Maestre di Monte Sole;Insegnante ed educatrice;Maria Nerina Fiori;34 - Delibere dal 2022 al 2025;21 settembre 2022;Maestre di Monte Sole;San Benedetto Val di Sambro (BO), 1901 - Marzabotto (BO), 1944;44.5253061462779, 11.345662548305157;"{""coordinates"": [[[11.345431321602804, 44.52517703965166], [11.345423052673864, 44.525185202893], [11.345413495962774, 44.525201511330856], [11.345415030018684, 44.52521321117055], [11.34542088817007, 44.52522995986376], [11.345441696085826, 44.52523688849594], [11.345463817801072, 44.52530474128421], [11.345446173734858, 44.525315980747], [11.345491119200622, 44.52545294244123], [11.345501588792521, 44.52548133323889], [11.345514340452441, 44.52549135456258], [11.345525971432313, 44.52549919785263], [11.345540456446363, 44.52550185561238], [11.345566171885709, 44.52550185414508], [11.345920016367835, 44.525402366351514], [11.345824156425438, 44.5251207165514], [11.345433138594247, 44.52517474987434], [11.345431321602804, 44.52517703965166]]], ""type"": ""Polygon""}";2021-2025;2024
Navile;Giardino;Giuseppina Cattani;2023-01-31;Aree verdi (57);via della Beverara;0;Delibera di Giunta 31 gennaio 2023;Giardino Giuseppina Cattani;Cattani;Scienziata;Giuseppina Cattani;34 - Delibere dal 2022 al 2025;12 aprile 2022 e 21 settembre 2022;Giuseppina Cattani;Imola (BO), 1859-1914;44.522520962666356, 11.333477823209375;"{""coordinates"": [[[11.332838782935609, 44.52219190240531], [11.332917933148272, 44.522417991585506], [11.333035964360922, 44.522752846828396], [11.333163616103255, 44.52306073360917], [11.333166827260044, 44.52306966500991], [11.333225819940967, 44.52295250484255], [11.33330369655075, 44.52293712264061], [11.33344068110856, 44.522903249525044], [11.33380001447441, 44.52280142980117], [11.3339571956978, 44.522746290212154], [11.334035851434422, 44.522721246324934], [11.334139066373183, 44.52268742045737], [11.33419076011571, 44.52267865369567], [11.334230634704461, 44.52267518285023], [11.334262633659893, 44.52267854050225], [11.334278380285369, 44.52268835547575], [11.334288726404495, 44.52270122889065], [11.334276011872246, 44.522660704700264], [11.334242165411062, 44.522626615484825], [11.334219346525433, 44.52260368397905], [11.334216131455412, 44.52259985578266], [11.334212297599748, 44.522596970091996], [11.3342071478212, 44.522596935871725], [11.334199695278816, 44.52259854547932], [11.334161014992299, 44.522604008895], [11.334134968371028, 44.52260751034601], [11.334131345870059, 44.52260870772621], [11.334127692029133, 44.522610291691684], [11.334124437590132, 44.5226136392385], [11.334121915449726, 44.52261798917179], [11.334118966393426, 44.522624260057874], [11.334104633536022, 44.52265718800875], [11.334099665204427, 44.52265814474547], [11.333841202569783, 44.52266909327262], [11.333839162018652, 44.52266745618266], [11.333838433076323, 44.52265636785122], [11.333790205847814, 44.522658042416815], [11.333685819959948, 44.5226620308065], [11.333682107605648, 44.52266090594263], [11.333680926632162, 44.52265872262658], [11.333678603024383, 44.52263049491974], [11.333675781548349, 44.522598366301644], [11.333673560198712, 44.52256888176409], [11.333668293045541, 44.522513370296714], [11.333667987328145, 44.52251044744748], [11.333669816356263, 44.52250800171823], [11.333673399300967, 44.52250737525466], [11.33377078335674, 44.522503301316426], [11.333826548535626, 44.52250119056909], [11.334088620693581, 44.522489844619045], [11.334097546730419, 44.52248802265732], [11.334105093899131, 44.522484267197], [11.33411263793635, 44.5224781983867], [11.334120368735848, 44.522469811629286], [11.334124606210015, 44.522464373831106], [11.334127700135896, 44.52245966129616], [11.334130762722157, 44.52245533534757], [11.334131918118144, 44.522451118851585], [11.33413638262613, 44.522449570860026], [11.33412055093281, 44.52239135806432], [11.334093300863504, 44.52237931840131], [11.334057689628601, 44.52226919698838], [11.334070192202345, 44.52225575220781], [11.334056475559823, 44.5222105613729], [11.333747119990564, 44.52215941082642], [11.333681005768886, 44.52215393009368], [11.333668217546617, 44.52215417133888], [11.33366496852375, 44.52215403547098], [11.332960966709386, 44.522261965833934], [11.332917594376598, 44.52227412319777], [11.332838782935609, 44.52219190240531]]], ""type"": ""Polygon""}";2021-2025;2023
Porto - Saragozza;Giardino;Anna Kuliscioff;2025-10-16;Aree verdi (57);via XXI aprile 1945, via Martini;0;Delibera di Giunta 16 ottobre 2025;Giardino Anna Kuliscioff;Kuliscioff;Politica ed emancipazionista;Anna Kulišëva italianizzato in Anna Kuliscioff, pseudonimo di Anna Moiseevna Rozenštejn;34 - Delibere dal 2022 al 2025;3 aprile 2025;Anna Kuliscioff;Sinferopoli (Russia), 1854 - Milano, 1925;44.492121328669356, 11.313700534003988;"{""coordinates"": [[[11.313849699608726, 44.49213400245527], [11.313818871461455, 44.4920791158424], [11.313809912171065, 44.49206316470502], [11.313768854504524, 44.492059166140706], [11.313761334827507, 44.49205843380475], [11.313661994126626, 44.49204940230087], [11.313591995997603, 44.49204417082007], [11.313577029697356, 44.492126095535994], [11.313566159177315, 44.492185599921775], [11.313699429639104, 44.492193230077525], [11.313862638991978, 44.49215703987299], [11.313849699608726, 44.49213400245527]]], ""type"": ""Polygon""}";2021-2025;2025
Navile;Rotonda;Bettisia Gozzadini;2008-06-03;Strade (79);via Gagarin, via Gobetti, via Barbieri;36;Delibera di Giunta 3 giugno 2008;Rotonda Bettisia Gozzadini;Gozzadini;Giurista;Bettisia Gozzadini;23 - Delibere del 2008;11 febbraio 2008;Bettisia Gozzadini;Bologna, 1209-1261;44.51703844120281, 11.336143627199416;"{""coordinates"": [[[11.336148240156952, 44.51716171691012], [11.336178088438267, 44.51715927975851], [11.33620688983381, 44.517153170913815], [11.336233769444606, 44.51714357587576], [11.336257910702463, 44.51713078610374], [11.336278580162235, 44.517115190170706], [11.336295149778195, 44.517097261961105], [11.336307115988625, 44.51707754627088], [11.336314115028644, 44.517056642247624], [11.336315934004437, 44.517035185173675], [11.33631251738986, 44.51701382714889], [11.336303968744614, 44.516993217259945], [11.336290547598104, 44.516973981842355], [11.3362726615899, 44.51695670543553], [11.336250854102548, 44.51694191301211], [11.336225787760176, 44.516930054022545], [11.336198224293229, 44.51692148873977], [11.336169001381329, 44.51691647731938], [11.336139007179387, 44.51691517190652], [11.336109153303545, 44.51691761202814], [11.336080347101106, 44.51692372340832], [11.336053464050822, 44.51693332024154], [11.336029321135735, 44.5169461108518], [11.336008652000878, 44.5169617065652], [11.335992084652796, 44.51697963352363], [11.335980122379663, 44.51699934708208], [11.335973128471458, 44.51702024835019], [11.335971315203034, 44.517041702377796], [11.335974737412137, 44.517063057432615], [11.33598329086428, 44.51708366478603], [11.335996715450282, 44.517102898408496], [11.336014603115709, 44.51712017397704], [11.336036410278142, 44.51713496662012], [11.336061474352642, 44.517146826860866], [11.336089033882294, 44.51715539427539], [11.336118251662377, 44.51716040845096], [11.336148240156952, 44.51716171691012]]], ""type"": ""Polygon""}";2006-2010;2008
San Donato - San Vitale;Rotonda;Madre Teresa di Calcutta;2008-02-19;Strade (79);via del Terrapieno;43;Delibera di Giunta 19 febbraio 2008;Rotonda Madre Teresa di Calcutta;Madre Teresa;Religiosa, benefattrice dell'umanita', Premio Nobel per la Pace;Anjezë Gonxhe Bojaxhiu;23 - Delibere del 2008;5 novembre 2007;Madre Teresa di Calcutta;Skopje (Macedonia), 1910 - Calcutta (India), 1997;44.50197927100004, 11.381192537225811;"{""coordinates"": [[[11.381021041188129, 44.50218309161144], [11.381087242789816, 44.50221373762591], [11.381154986732216, 44.50224208667576], [11.381185460012777, 44.50225454652614], [11.381213724266578, 44.50226586265344], [11.38124441724106, 44.5022754597044], [11.38127206801815, 44.50228392992835], [11.381299565335103, 44.502290929525834], [11.381324417121178, 44.50229355261975], [11.381347263522184, 44.50229540629793], [11.381373576815427, 44.50229533306563], [11.381395524933565, 44.50229439749542], [11.381424395597973, 44.50229165176285], [11.381452214479364, 44.5022874993151], [11.381475686173768, 44.50228295876994], [11.381501752992289, 44.50227669965211], [11.381528668428691, 44.502268204801105], [11.381549615813256, 44.50225881415204], [11.381571825594397, 44.502247681739846], [11.381602777519971, 44.502228557516865], [11.381632088798385, 44.502204722448575], [11.381652159992916, 44.50218585107495], [11.381670364620037, 44.50216195716176], [11.381685228132309, 44.50213783596891], [11.38169232450857, 44.502121583996335], [11.381698348745335, 44.50209717239352], [11.381701521196481, 44.5020763895776], [11.38170252575144, 44.50205136877117], [11.381700203347313, 44.50203070069272], [11.38169695543713, 44.502011839273926], [11.381691185811036, 44.501994893078844], [11.381683423098462, 44.50197810215979], [11.38167247963937, 44.501957567237206], [11.381664831389259, 44.50194610682298], [11.381654503302654, 44.501934322203596], [11.381643445665135, 44.50192426653624], [11.381626880865811, 44.50190975406436], [11.381608454813168, 44.50189654591476], [11.381591498226538, 44.50188475551984], [11.381570992706141, 44.50187161041226], [11.381543937364073, 44.50185717425273], [11.381508784674937, 44.50184004891797], [11.381465517605323, 44.50181987763998], [11.381437552285387, 44.50180760180756], [11.381383828926324, 44.501784077757826], [11.381329581338973, 44.501759967796076], [11.381284840560006, 44.501740422390924], [11.381248259263046, 44.501724992413294], [11.381213692365991, 44.50170999712304], [11.38118656173094, 44.50169770371722], [11.38115144356211, 44.50168557610703], [11.38112246426346, 44.50167713162671], [11.38109958891687, 44.501672481472106], [11.381068395971566, 44.50166693944723], [11.38104764076026, 44.50166427588668], [11.381029290820656, 44.50166346833708], [11.38100963638739, 44.5016634009728], [11.380978365311412, 44.50166428971924], [11.380953813596314, 44.50166670732784], [11.38093528172895, 44.50166971255932], [11.380904633952794, 44.50167630351068], [11.380882800584889, 44.50168175888087], [11.380861165784047, 44.50168887734623], [11.380835947117122, 44.50169964279856], [11.380818010542422, 44.5017093029373], [11.380801082084712, 44.50171918161343], [11.380783211106946, 44.501730507678715], [11.380770846827124, 44.50173790940409], [11.38075760666586, 44.501748425997256], [11.380745383178006, 44.501759396605465], [11.380733749666966, 44.50177095042489], [11.380720891081735, 44.501786934934465], [11.380713695027877, 44.50179591221808], [11.380707902370355, 44.501804414199064], [11.380704453234555, 44.50181175108328], [11.380698625059312, 44.50182400689732], [11.380694585428737, 44.50183647373823], [11.380689979553436, 44.50184991538586], [11.380685566093451, 44.50186465112113], [11.380682734270977, 44.50188149960416], [11.380683269555519, 44.50189506259653], [11.38068411591475, 44.501910063310135], [11.38068706512286, 44.501932029166205], [11.380691746954032, 44.5019557447607], [11.380696527149693, 44.501971458273175], [11.380702058317622, 44.50198503620695], [11.380710917717565, 44.50199854467566], [11.380721776709652, 44.502011980078], [11.380734867933583, 44.50202718606356], [11.380749124601612, 44.50204028240583], [11.380768988462147, 44.50205832377527], [11.380781038691358, 44.50206819425025], [11.380796841182281, 44.50207828135846], [11.380823878042468, 44.50209337340173], [11.38086563358331, 44.50211322008792], [11.38089534098792, 44.50212535129919], [11.380959987486184, 44.50215543523256], [11.381021041188129, 44.50218309161144]]], ""type"": ""Polygon""}";2006-2010;2008
